tier	candidate	candidate_ensembl	candidate_mgi	candidate_name	mito_rxn	mito_subsystem	mito_rxn_description	mito_ec	mito_gpr_state	mito_gpr_genes	evidence	n_shared_genes	shared_genes	paralogue_of	already_elsewhere_in_model	mouse1_rxns	n_mouse1_rxns	mouse1_compartments	mouse1_subsystems	candidate_promiscuity	candidate_context
A	Acad9	ENSMUSG00000027710	MGI:1914272	acyl-Coenzyme A dehydrogenase family, member 9	r1447_mitoMap		Lauroyl-CoA + Q --> 2-trans-Dodecenoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03135	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	59	isozyme
A	Acadl	ENSMUSG00000026003	MGI:87866	acyl-Coenzyme A dehydrogenase, long-chain	r1447_mitoMap		Lauroyl-CoA + Q --> 2-trans-Dodecenoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		True	MAR03135	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	56	isozyme
A	Acadvl	ENSMUSG00000018574	MGI:895149	acyl-Coenzyme A dehydrogenase, very long chain	r1447_mitoMap		Lauroyl-CoA + Q --> 2-trans-Dodecenoyl-CoA + QH2	1.3.8.7, 1.5.5.1	genes	Acadm,Etfdh	bigg,kegg	1	Acadm		False	MAR03135	1	m	Beta oxidation of even-chain fatty acids (mitochondrial)	89	complex
A	Acss3	ENSMUSG00000035948	MGI:2685720	acyl-CoA synthetase short-chain family member 3	ACSm	Alcohol metabolism	ATP + Acetate + CoA --> AMP + Diphosphate + Acetyl-CoA	6.2.1.1	genes	Acss1	bigg,kegg,struct	1	Acss1	Acss1	True	MAR04099	1	m	Glycolysis / Gluconeogenesis	7	isozyme
A	Adh4	ENSMUSG00000037797	MGI:1349472	alcohol dehydrogenase 4 (class II), pi polypeptide	ALCD2if	Alcohol metabolism	Ethanol + NAD+ --> Acetaldehyde + NADH + H+	1.1.1.1	genes	Adh1,Adh5	bigg,kegg,struct	2	Adh1,Adh5	Adh1,Adh5	False	MAR03905	1	c	Glycolysis / Gluconeogenesis	27	isozyme
A	Adh6b	ENSMUSG00000074206	MGI:2446626	alcohol dehydrogenase 6B (class V)	ALCD2if	Alcohol metabolism	Ethanol + NAD+ --> Acetaldehyde + NADH + H+	1.1.1.1	genes	Adh1,Adh5	bigg,kegg,struct	2	Adh1,Adh5	Adh1,Adh5	False	MAR03905	1	c	Glycolysis / Gluconeogenesis	18	isozyme
A	Adh7	ENSMUSG00000055301	MGI:87926	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	ALCD2if	Alcohol metabolism	Ethanol + NAD+ --> Acetaldehyde + NADH + H+	1.1.1.1	genes	Adh1,Adh5	bigg,kegg,struct	2	Adh1,Adh5	Adh1,Adh5	False	MAR03905	1	c	Glycolysis / Gluconeogenesis	18	isozyme
A	Adhfe1	ENSMUSG00000025911	MGI:1923437	alcohol dehydrogenase, iron containing, 1	ALCD2if	Alcohol metabolism	Ethanol + NAD+ --> Acetaldehyde + NADH + H+	1.1.1.1	genes	Adh1,Adh5	bigg,kegg,struct	2	Adh1,Adh5		False	MAR03905	1	c	Glycolysis / Gluconeogenesis	18	isozyme
A	Aldh2	ENSMUSG00000029455	MGI:99600	aldehyde dehydrogenase 2, mitochondrial	ALDD2xm	Alcohol metabolism	Acetaldehyde + NAD+ + H2O --> Acetate + NADH + H+	1.2.1.3	genes	Aldh1b1,Aldh3a2,Aldh7a1,Aldh9a1	bigg,kegg,struct	4	Aldh1b1,Aldh3a2,Aldh7a1,Aldh9a1	Aldh1b1,Aldh3a2,Aldh7a1,Aldh9a1	False	MAR08357	1	m	Glycolysis / Gluconeogenesis	32	isozyme
A	Aldh2	ENSMUSG00000029455	MGI:99600	aldehyde dehydrogenase 2, mitochondrial	NABTNOm	Arginine degradation	N4-Acetylaminobutanal + NAD+ + H2O --> 4-Acetamidobutanoate + NADH + H+	1.2.1.3	genes	Aldh1b1,Aldh3a2,Aldh7a1,Aldh9a1	bigg,struct	1	Aldh1b1	Aldh1b1,Aldh3a2,Aldh7a1,Aldh9a1	False	MAR01523	1	m	Arginine and proline metabolism	32	isozyme
A	Aldh4a1	ENSMUSG00000028737	MGI:2443883	aldehyde dehydrogenase 4 family, member A1	NABTNOm	Arginine degradation	N4-Acetylaminobutanal + NAD+ + H2O --> 4-Acetamidobutanoate + NADH + H+	1.2.1.3	genes	Aldh1b1,Aldh3a2,Aldh7a1,Aldh9a1	bigg,struct	1	Aldh1b1	Aldh1b1,Aldh3a2,Aldh7a1,Aldh9a1	True	MAR01523	1	m	Arginine and proline metabolism	12	isozyme
A	Asrgl1	ENSMUSG00000024654	MGI:1913764	asparaginase like 1	r0127	Asparagine degradation	L-Asparagine + H2O --> L-Aspartate + Ammonia	3.5.1.1	genes	Aspg	bigg,kegg	1	Aspg		False	MAR04172	1	c	Alanine, aspartate and glutamate metabolism	2	isozyme
