symbol	ensembl	mitocarta_list	evidence	sub_localization
Cyc1	ENSMUSG00000022551	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, yeast mit	MIM
Pdha1	ENSMUSG00000031299	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Atp5d	ENSMUSG00000003072	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Isca2	ENSMUSG00000021241	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog++, Ricketts	Matrix
Pdhb	ENSMUSG00000021748	MitoCarta3.0	literature, targetP signal+, yeast mito homolog+, Rickettsia	Matrix
Uqcrc1	ENSMUSG00000025651	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	MIM
Coq9	ENSMUSG00000031782	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog++, Ricketts	MIM
Mrpl12	ENSMUSG00000039640	MitoCarta3.0	literature, targetP signal+, yeast mito homolog++, Rickettsi	Matrix
Mrps35	ENSMUSG00000040112	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Cox5a	ENSMUSG00000000088	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal+, yeast mi	MIM
Uqcrfs1	ENSMUSG00000038462	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Coq7	ENSMUSG00000030652	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	MIM
Sdha	ENSMUSG00000021577	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Sdhb	ENSMUSG00000009863	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog,	MIM
Atp5a1	ENSMUSG00000025428	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	MIM
Sdhaf4	ENSMUSG00000026154	MitoCarta3.0	targetP signal+, yeast mito homolog++, Rickettsial homolog, 	Matrix
Pmpcb	ENSMUSG00000029017	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Sdhd	ENSMUSG00000000171	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	MIM
Uqcrc2	ENSMUSG00000030884	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	MIM
Coq5	ENSMUSG00000041733	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog+, Rickettsia	MIM
Ogdh	ENSMUSG00000020456	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Uqcrq	ENSMUSG00000044894	MitoCarta3.0	literature, APEX_IMS, targetP signal, yeast mito homolog++, 	MIM
Mdh2	ENSMUSG00000019179	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Dbt	ENSMUSG00000000340	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Dlat	ENSMUSG00000000168	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Lrpprc	ENSMUSG00000024120	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrpl53	ENSMUSG00000030037	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Dlst	ENSMUSG00000004789	MitoCarta3.0	literature, APEX_IMS, APEX_matrix, targetP signal, yeast mit	Matrix
Pdhx	ENSMUSG00000010914	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Gfm1	ENSMUSG00000027774	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Grpel1	ENSMUSG00000029198	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mpc2	ENSMUSG00000026568	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, indu	MIM
Uqcr10	ENSMUSG00000059534	MitoCarta3.0	literature, yeast mito homolog++, mito protein domain+, indu	MIM
Coq3	ENSMUSG00000028247	MitoCarta3.0	APEX_matrix, targetP signal+, yeast mito homolog++, Ricketts	MIM
Atp5e	ENSMUSG00000016252	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, mito prote	MIM
Slc25a3	ENSMUSG00000061904	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, mito prote	MIM
Mrpl34	ENSMUSG00000034880	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrps15	ENSMUSG00000028861	MitoCarta3.0	literature, targetP signal+, yeast mito homolog++, Rickettsi	Matrix
Sdhc	ENSMUSG00000058076	MitoCarta3.0	literature, targetP signal, yeast mito homolog++, Rickettsia	MIM
Atp5b	ENSMUSG00000025393	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	MIM
Mrps23	ENSMUSG00000023723	MitoCarta3.0	literature, APEX_matrix, yeast mito homolog++, mito protein 	Matrix
Etfa	ENSMUSG00000032314	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Fh1	ENSMUSG00000026526	MitoCarta3.0	literature, APEX_matrix, targetP signal+, yeast mito homolog	Matrix
Mrps27	ENSMUSG00000041632	MitoCarta3.0	literature, APEX_matrix, targetP signal, yeast mito homolog+	Matrix
Isca1	ENSMUSG00000044792	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, Rickettsi	Matrix
Idh3a	ENSMUSG00000032279	MitoCarta3.0	APEX_matrix, targetP signal, yeast mito homolog++, Rickettsi	Matrix
Ndufs1	ENSMUSG00000025968	MitoCarta3.0	literature, APEX_matrix, targetP signal, Rickettsial homolog	MIM
